Bundle Item staging ref,Name,Bundle Staging Ref,Service Item Type Staging Ref,Service Item Family Staging Ref
SB0046-SIF066,IOS NH Meas Sew NSW - Default - Dual,SB0046,,SIF066
SB0046-SI0226,IOS NH Meas Sew NSW - Default - Dual,SB0046,c-nrns-SWW / c-nwns-SWW,
SB0047-SIF067,IOS NH Meas Sew NSW - Default - Single,SB0047,,SIF067
SB0047-SI0226,IOS NH Meas Sew NSW - Default - Single,SB0047,c-nrns-SWW / c-nwns-SWW,
SB0048-SIF068,IOS NH Meas Sew SWD - Default - Dual,SB0048,,SIF068
SB0048-SI0227,IOS NH Meas Sew SWD - Default - Dual,SB0048,c-nrsw-SWW / c-nwsw-SWW,
SB0049-SIF069,IOS NH Meas Sew SWD - Default - Single,SB0049,,SIF069
SB0049-SI0227,IOS NH Meas Sew SWD - Default - Single,SB0049,c-nrsw-SWW / c-nwsw-SWW,
SB0050-SI0231,IOS NH Unm Sew NSW - Default <=£50RV - Dual,SB0050,u4-nr01d-SWW / u4-nw01-SWW,
SB0050-SI0241,IOS NH Unm Sew NSW - Default <=£50RV - Dual,SB0050,us-nrns-SWW / us-nwns-SWW,
SB0051-SI0233,IOS NH Unm Sew NSW - Default <=£50RV - Single,SB0051,u4-nr01s-SWW / u4-nw01-SWW,
SB0051-SI0241,IOS NH Unm Sew NSW - Default <=£50RV - Single,SB0051,us-nrns-SWW / us-nwns-SWW,
SB0052-SI0230,IOS NH Unm Sew NSW - Default >£50RV - Dual,SB0052,u4-nr02d-SWW / u4-nw02-SWW,
SB0052-SI0241,IOS NH Unm Sew NSW - Default >£50RV - Dual,SB0052,us-nrns-SWW / us-nwns-SWW,
SB0053-SI0232,IOS NH Unm Sew NSW - Default >£50RV - Single,SB0053,u4-nr02s-SWW / u4-nw02-SWW,
SB0053-SI0241,IOS NH Unm Sew NSW - Default >£50RV - Single,SB0053,us-nrns-SWW / us-nwns-SWW,
SB0054-SI0235,IOS NH Unm Sew SWD - Default <=£50RV - Dual,SB0054,u2-nr01d-SWW / u2-nw01-SWW,
SB0054-SI0242,IOS NH Unm Sew SWD - Default <=£50RV - Dual,SB0054,us-nrs-SWW / us-nws-SWW,
SB0055-SI0238,IOS NH Unm Sew SWD - Default <=£50RV - Single,SB0055,u2-nr01s-SWW / u2-nw01-SWW,
SB0055-SI0242,IOS NH Unm Sew SWD - Default <=£50RV - Single,SB0055,us-nrs-SWW / us-nws-SWW,
SB0056-SI0234,IOS NH Unm Sew SWD - Default >£50RV - Dual,SB0056,u2-nr02d-SWW / u2-nw02-SWW,
SB0056-SI0242,IOS NH Unm Sew SWD - Default >£50RV - Dual,SB0056,us-nrs-SWW / us-nws-SWW,
SB0057-SI0236,IOS NH Unm Sew SWD - Default >£50RV - Single,SB0057,u2-nr02s-SWW / u2-nw02-SWW,
SB0057-SI0242,IOS NH Unm Sew SWD - Default >£50RV - Single,SB0057,us-nrs-SWW / us-nws-SWW,
SB0058-SI0237,IOS NH Unm Sew SWD - SWD Only - Single,SB0058,u2-nr03s-SWW / u2-nw03-SWW,
WB0060-SI0228,IOS NH Meas Wat - Building Water - Single,WB0060, / b-bw-SWW,
WB0061-SIF074,IOS NH Meas Wat - Default - Dual,WB0061,,SIF074
WB0061-SI0229,IOS NH Meas Wat - Default - Dual,WB0061,b-nrw-SWW / b-nww-SWW,
WB0062-SIF075,IOS NH Meas Wat - Default - Single,WB0062,,SIF075
WB0062-SI0229,IOS NH Meas Wat - Default - Single,WB0062,b-nrw-SWW / b-nww-SWW,
WB0063-SIF075,IOS NH Meas Wat - Trough - Single,WB0063,,SIF075
WB0063-SI0229,IOS NH Meas Wat - Trough - Single,WB0063,b-nrw-SWW / b-nww-SWW,
WB0064-SI0239,IOS NH Unm Wat - Default - Dual,WB0064,u1-nr01d-SWW / u1-nw01-SWW,
WB0064-SI0243,IOS NH Unm Wat - Default - Dual,WB0064,u-nru-SWW / u-nwu-SWW,
