Bundle Item staging ref,Name,Bundle Staging Ref,Service Item Type Staging Ref,Service Item Family Staging Ref
SB0001-SIF012,SWW HH Meas Sew Fixed NSW - Dual,SB0001,,SIF012
SB0001-SI0099,SWW HH Meas Sew Volume NSW - Vol Charge,SB0001,SI0099,
SB0002-SIF013,SWW HH Meas Sew Fixed NSW - Single,SB0002,,SIF013
SB0002-SI0099,SWW HH Meas Sew Volume NSW - Vol Charge,SB0002,SI0099,
SB0003-SI0099,SWW HH Meas Sew Volume NSW - Vol Charge,SB0003,SI0099,
SB0004-SI0099,SWW HH Meas Sew Volume NSW - Vol Charge,SB0004,SI0099,
SB0005-SIF014,SWW HH Meas Sew Fixed SWD - Dual,SB0005,,SIF014
SB0005-SI0100,SWW HH Meas Sew Volume SWD - Vol Charge,SB0005,SI0100,
SB0006-SIF015,SWW HH Meas Sew Fixed SWD - Single,SB0006,,SIF015
SB0006-SI0100,SWW HH Meas Sew Volume SWD - Vol Charge,SB0006,SI0100,
SB0007-SI0100,SWW HH Meas Sew Volume SWD - Vol Charge,SB0007,SI0100,
SB0008-SI0100,SWW HH Meas Sew Volume SWD - Vol Charge,SB0008,SI0100,
SB0009-SI0133,SWW HH Unm Sew Assist - Band 1,SB0009,SI0133,
SB0010-SI0133,SWW HH Unm Sew Assist - Band 1,SB0010,SI0133,
SB0011-SI0134,SWW HH Unm Sew Assist - Band 2,SB0011,SI0134,
SB0012-SI0134,SWW HH Unm Sew Assist - Band 2,SB0012,SI0134,
SB0013-SI0135,SWW HH Unm Sew Assist - Band 3,SB0013,SI0135,
SB0014-SI0135,SWW HH Unm Sew Assist - Band 3,SB0014,SI0135,
SB0015-SI0136,SWW HH Unm Sew Assist - Band 4,SB0015,SI0136,
SB0016-SI0136,SWW HH Unm Sew Assist - Band 4,SB0016,SI0136,
SB0017-SI0137,SWW HH Unm Sew Assist - Band 5,SB0017,SI0137,
SB0018-SI0137,SWW HH Unm Sew Assist - Band 5,SB0018,SI0137,
SB0019-SI0138,SWW HH Unm Sew Assist - Band 6,SB0019,SI0138,
SB0020-SI0138,SWW HH Unm Sew Assist - Band 6,SB0020,SI0138,
SB0021-SI0153,SWW HH Unm Sew Fixed SWD - Hosp & Decd - Dual,SB0021,SI0153,
SB0022-SI0158,SWW HH Unm Sew Fixed SWD - Hosp & Decd - Single,SB0022,SI0158,
SB0023-SI0176,SWW HH Unm Sew WaterSure - Annual Charge,SB0023,SI0176,
SB0024-SI0176,SWW HH Unm Sew WaterSure - Annual Charge,SB0024,SI0176,
SB0025-SI0106,SWW HH Unm Sew Assessed Fixed NSW - 1 Occ - Dual,SB0025,SI0106,
SB0025-SI0124,SWW HH Unm Sew Assessed Volume NSW - 1 Occ,SB0025,SI0124,
SB0026-SI0109,SWW HH Unm Sew Assessed Fixed NSW - 1 Occ - Single,SB0026,SI0109,
SB0026-SI0124,SWW HH Unm Sew Assessed Volume NSW - 1 Occ,SB0026,SI0124,
SB0027-SI0107,SWW HH Unm Sew Assessed Fixed NSW - 2 Occ - Dual,SB0027,SI0107,
SB0027-SI0125,SWW HH Unm Sew Assessed Volume NSW - 2 Occ,SB0027,SI0125,
SB0028-SI0110,SWW HH Unm Sew Assessed Fixed NSW - 2 Occ - Single,SB0028,SI0110,
SB0028-SI0125,SWW HH Unm Sew Assessed Volume NSW - 2 Occ,SB0028,SI0125,
SB0029-SI0108,SWW HH Unm Sew Assessed Fixed NSW - Multi Occ - Dual,SB0029,SI0108,
SB0029-SI0126,SWW HH Unm Sew Assessed Volume NSW - Multi Occ,SB0029,SI0126,
SB0030-SI0111,SWW HH Unm Sew Assessed Fixed NSW - Multi Occ - Single,SB0030,SI0111,
SB0030-SI0126,SWW HH Unm Sew Assessed Volume NSW - Multi Occ,SB0030,SI0126,
SB0031-SI0148,SWW HH Unm Sew Fixed NSW - Up to 50RV - Dual,SB0031,SI0148,
SB0031-SI0171,SWW HH Unm Sew Variable NSW - RV Charge,SB0031,SI0171,
SB0032-SI0152,SWW HH Unm Sew Fixed NSW - Up to 50RV - Single,SB0032,SI0152,
SB0032-SI0171,SWW HH Unm Sew Variable NSW - RV Charge,SB0032,SI0171,
SB0033-SI0145,SWW HH Unm Sew Fixed NSW - Over 50RV - Dual,SB0033,SI0145,
SB0033-SI0171,SWW HH Unm Sew Variable NSW - RV Charge,SB0033,SI0171,
SB0034-SI0149,SWW HH Unm Sew Fixed NSW - Over 50RV - Single,SB0034,SI0149,
SB0034-SI0171,SWW HH Unm Sew Variable NSW - RV Charge,SB0034,SI0171,
SB0035-SI0112,SWW HH Unm Sew Assessed Fixed SWD - 1 Occ - Dual,SB0035,SI0112,
SB0035-SI0127,SWW HH Unm Sew Assessed Volume SWD - 1 Occ,SB0035,SI0127,
SB0036-SI0115,SWW HH Unm Sew Assessed Fixed SWD - 1 Occ - Single,SB0036,SI0115,
