Staging Ref,Bundle Name,Record Type,Service Type Staging Ref,Tariff Limit,Company,Assessed Charges,Number of Occupants,Service Type ID,Remove Comparison (LBG),Charge Type,Single / Dual,Pre Occupation,Progressive Charging,Surface Water,Affordability,Affordability Type,Bundle Category,Corresponding Water Bundle
WB0001,BW HH Meas Wat - Default,Regular Bundle,ST01,0,BW,FALSE,,ST01,0,Measured,Single,0,0,0,0,,,
WB0002,BW HH Meas Wat - Pre Occupation,Regular Bundle,ST01,0,BW,FALSE,,ST01,1,Measured,Single,1,0,0,0,,,
WB0003,BW HH Meas Wat - Seasonal Diff 3,Regular Bundle,ST01,0,BW,FALSE,,ST01,1,Measured,Single,0,1,0,0,,,
WB0004,BW HH Meas Wat - WaterSure,Regular Bundle,ST01,0,BW,FALSE,,ST01,1,Measured,Single,0,0,0,1,WaterSure,,
WB0005,BW HH Unm Wat - Assessed 1 Occ,Regular Bundle,ST01,0,BW,TRUE,1,ST01,1,Assessed,Single,0,0,0,0,,,
WB0006,BW HH Unm Wat - Assessed 1 Occ Holiday Home,Regular Bundle,ST01,0,BW,TRUE,1,ST01,1,Assessed,Single,0,0,0,0,,,
WB0007,BW HH Unm Wat - Assessed 2 Occ,Regular Bundle,ST01,0,BW,TRUE,2,ST01,1,Assessed,Single,0,0,0,0,,,
WB0008,BW HH Unm Wat - Assessed 2 Occ Holiday Home,Regular Bundle,ST01,0,BW,TRUE,2,ST01,1,Assessed,Single,0,0,0,0,,,
WB0009,BW HH Unm Wat - Assessed 3 Occ,Regular Bundle,ST01,0,BW,TRUE,3,ST01,1,Assessed,Single,0,0,0,0,,,
WB0010,BW HH Unm Wat - Assessed 3 Occ Holiday Home,Regular Bundle,ST01,0,BW,TRUE,3,ST01,1,Assessed,Single,0,0,0,0,,,
WB0011,BW HH Unm Wat - Assessed 4 Occ,Regular Bundle,ST01,0,BW,TRUE,4,ST01,1,Assessed,Single,0,0,0,0,,,
WB0012,BW HH Unm Wat - Assessed 4 Occ Holiday Home,Regular Bundle,ST01,0,BW,TRUE,4,ST01,1,Assessed,Single,0,0,0,0,,,
WB0013,BW HH Unm Wat - Assessed 5 Occ,Regular Bundle,ST01,0,BW,TRUE,5,ST01,1,Assessed,Single,0,0,0,0,,,
WB0014,BW HH Unm Wat - Assessed 5 Occ Holiday Home,Regular Bundle,ST01,0,BW,TRUE,5,ST01,1,Assessed,Single,0,0,0,0,,,
WB0015,BW HH Unm Wat - Assessed 6 Occ,Regular Bundle,ST01,0,BW,TRUE,6,ST01,1,Assessed,Single,0,0,0,0,,,
