Staging Ref,Name,Consideration Type Description,Disconnection Permitted,Print S3 Bucket,Temporary Consideration Type ?,Code,Priority,Additional Meter Read Request On Request,Bills In Different Format,Bottled Water Delivery,Industry PSR,Knock And Wait,Nominee,Password,Tailored Contact Inc In Emergency
DFP,Dialysis Feeding Pump and Automated Feeder,Dialysis feeding pump and automated medication,0,,0,DFP,1,Default,Optional,Default,1,Default,Optional,Optional,Default
PSST,Poor Sense of Taste and Smell,Poor sense of smell/taste,0,,0,PSST,1,Default,Optional,Default,1,Default,Optional,Optional,Default
WD,Water Dependant,Water dependent,0,,0,WD,1,Default,Optional,Default,1,Default,Optional,Optional,Default
UAD,Unable to Answer Door,Unable to answer door,0,,0,UAD,2,Default,Optional,Not Available,1,Default,Optional,Optional,Default
CI,Cognitive Impairment - Inc Dementia,Dementia(s)/Cognitive impairment,0,,0,CI,2,Default,Optional,Not Available,1,Default,Optional,Optional,Default
NAAM,Nebuliser and Apnoea Monitor,Nebuliser and apnoea monitor,0,,0,NAAM,2,Default,Optional,Not Available,1,Default,Optional,Optional,Default
HLV,Heart Lung Ventilator,Heart lung and ventilator,0,,0,HLV,2,Default,Optional,Not Available,1,Default,Optional,Optional,Default
OC,Oxygen Concentrator,Oxygen concentrator,0,,0,OC,2,Default,Optional,Not Available,1,Default,Optional,Optional,Default
B,Blind,Blind,0,,0,B,2,Default,Optional,Not Available,1,Default,Optional,Optional,Default
SLHEB,Stair/Lifts/Hoist/Electric Bed,Stair lift hoist electric bed,0,,0,SLHEB,2,Default,Optional,Not Available,1,Default,Optional,Optional,Default
PI,Physical Impairment,Physical impairment,0,,0,PI,2,Default,Optional,Not Available,1,Default,Optional,Optional,Default
DC,Development Condition,Developmental condition,0,,0,DC,2,Default,Optional,Not Available,1,Default,Optional,Optional,Default
MH,Mental Health,Mental health,0,,0,MH,2,Default,Optional,Not Available,1,Default,Optional,Optional,Default
TPH,Temp - Post Hospital,Temporary - post hospital recovery,0,,1,TPH,2,Default,Optional,Not Available,1,Default,Optional,Optional,Default
CSI,Chronic Serious Illness,Chronic / Serious Illness,0,,0,CSI,2,Default,Optional,Not Available,1,Default,Optional,Optional,Default
OU,Oxygen Use,Oxygen use,0,,0,OU,2,Default,Optional,Not Available,1,Default,Optional,Optional,Default
RHM,Restricted Hand Movement,Restricted hand movement,0,,0,RHM,2,Default,Optional,Not Available,1,Default,Optional,Optional,Default
PS,Partially Sighted,Partially sighted,0,,0,PS,3,Default,Optional,Not Available,1,Default,Optional,Optional,Default
MDSB,Medical Dependant - Showering and Bathing,Medically dependent showering/bathing,0,,0,MDSB,3,Default,Optional,Not Available,1,Default,Optional,Optional,Default
CLTC,Careline/Telecare,Careline / Telecare system,0,,0,CLTC,3,Default,Optional,Not Available,1,Default,Optional,Optional,Default
HI,Hearing Impairment,Hearing impairment (inc. Deaf),0,,0,HI,3,Default,Optional,Not Available,1,Default,Optional,Optional,Default
PA,Pensionable Age,Pensionable age,0,,0,PA,4,Default,Optional,Not Available,1,Default,Optional,Optional,Default
UCE,Unable to Communicate in English,Unable to communicate in English,0,,0,UCE,4,Default,Optional,Not Available,1,Default,Optional,Optional,Default
MR,Medicine Refrigeration,Medicine refrigeration,0,,0,MR,4,Default,Optional,Not Available,1,Default,Optional,Optional,Default
FYC,Families with Children Under 5,Families with young children 5 or under,0,,1,FYC,4,Default,Optional,Not Available,1,Default,Optional,Optional,Default
APP,Additional Presence Preferred,Additional presence preferred,0,,0,APP,4,Default,Optional,Not Available,1,Default,Optional,Optional,Default
TLC,Temp - Life Changes,Temporary - life changes,0,,1,TLC,4,Default,Optional,Not Available,1,Default,Optional,Optional,Default
TYA,Temp - Young Adult,Temporary - young adult householder (<18),0,,1,TYA,4,Default,Optional,Not Available,1,Default,Optional,Optional,Default
SI,Speech Impairment,Speech impairment,0,,0,SI,4,Default,Optional,Not Available,1,Default,Optional,Optional,Default
LWWE,LEGACY - Written Warning in Emergency,Written warning in an emergency (LEGACY),0,,0,,,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available
LTCE,LEGACY - Telephone Call in Emergency,Telephone call in an emergency (LEGACY),0,,0,,,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available
LVI,LEGACY - Visit in an Emergency,Visit in an emergency (LEGACY),0,,0,,,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available
LWSE,LEGACY - Water Supply in an Emergency,Water supply in an emergency (LEGACY),0,,0,,,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available
LCMR,LEGACY - Check Meter Reading,Check meter reading (LEGACY),0,,0,,,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available
LGN,LEGACY - Generic Need,Generic need (LEGACY),0,,0,,,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available
