Staging Ref,SPUT Staging Ref,Device Size Staging Ref,Number of Occupiers,Start Date,End Date,Average Daily Usage
0-DEF,,0mm,,01/04/2017,,0.28
HH-0-1,,0mm,1,01/04/2017,,0.19
HH-0-2,,0mm,2,01/04/2017,,0.28
HH-0-3,,0mm,3,01/04/2017,,0.41
HH-0-4,,0mm,4,01/04/2017,,0.55
HH-0-5,,0mm,5,01/04/2017,,0.69
HH-0-6,,0mm,6,01/04/2017,,0.82
HH-0-7,,0mm,7,01/04/2017,,0.95
HH-0-8,,0mm,8,01/04/2017,,1.08
HH-0-9,,0mm,9,01/04/2017,,1.21
HH-0-10,,0mm,10,01/04/2017,,1.34
HH-0-11,,0mm,11,01/04/2017,,1.47
HH-0-12,,0mm,12,01/04/2017,,1.6
HH-0-13,,0mm,13,01/04/2017,,1.73
HH-0-14,,0mm,14,01/04/2017,,1.86
HH-0-15,,0mm,15,01/04/2017,,1.99
NHH-0-BW,SPUT002,0mm,,01/04/2017,,1
NHH-0-SWW,SPUT004,0mm,,01/04/2017,,1
NHH-0-IOS,SPUT006,0mm,,01/04/2020,,1
NHH-0-WBT,SPUT008,0mm,,01/04/2022,,1
15-DEF,,15mm,,01/04/2017,,0.28
HH-15-1,,15mm,1,01/04/2017,,0.19
HH-15-2,,15mm,2,01/04/2017,,0.28
HH-15-3,,15mm,3,01/04/2017,,0.41
HH-15-4,,15mm,4,01/04/2017,,0.55
HH-15-5,,15mm,5,01/04/2017,,0.69
HH-15-6,,15mm,6,01/04/2017,,0.82
HH-15-7,,15mm,7,01/04/2017,,0.95
HH-15-8,,15mm,8,01/04/2017,,1.08
HH-15-9,,15mm,9,01/04/2017,,1.21
HH-15-10,,15mm,10,01/04/2017,,1.34
HH-15-11,,15mm,11,01/04/2017,,1.47
HH-15-12,,15mm,12,01/04/2017,,1.6
HH-15-13,,15mm,13,01/04/2017,,1.73
HH-15-14,,15mm,14,01/04/2017,,1.86
HH-15-15,,15mm,15,01/04/2017,,1.99
NHH-15-BW,SPUT002,15mm,,01/04/2017,,1.5
NHH-15-SWW,SPUT004,15mm,,01/04/2017,,1.5
NHH-15-IOS,SPUT006,15mm,,01/04/2020,,1.5
NHH-15-WBT,SPUT008,15mm,,01/04/2022,,1.5
20-DEF,,20mm,,01/04/2017,,0.28
HH-20-1,,20mm,1,01/04/2017,,0.19
HH-20-2,,20mm,2,01/04/2017,,0.28
HH-20-3,,20mm,3,01/04/2017,,0.41
HH-20-4,,20mm,4,01/04/2017,,0.55
HH-20-5,,20mm,5,01/04/2017,,0.69
HH-20-6,,20mm,6,01/04/2017,,0.82
HH-20-7,,20mm,7,01/04/2017,,0.95
HH-20-8,,20mm,8,01/04/2017,,1.08
HH-20-9,,20mm,9,01/04/2017,,1.21
HH-20-10,,20mm,10,01/04/2017,,1.34
HH-20-11,,20mm,11,01/04/2017,,1.47
HH-20-12,,20mm,12,01/04/2017,,1.6
HH-20-13,,20mm,13,01/04/2017,,1.73
HH-20-14,,20mm,14,01/04/2017,,1.86
HH-20-15,,20mm,15,01/04/2017,,1.99
NHH-20-BW,SPUT002,20mm,,01/04/2017,,2
NHH-20-SWW,SPUT004,20mm,,01/04/2017,,2
NHH-20-IOS,SPUT006,20mm,,01/04/2020,,2
NHH-20-WBT,SPUT008,20mm,,01/04/2022,,2
22-DEF,,22mm,,01/04/2017,,0.28
HH-22-1,,22mm,1,01/04/2017,,0.19
HH-22-2,,22mm,2,01/04/2017,,0.28
HH-22-3,,22mm,3,01/04/2017,,0.41
HH-22-4,,22mm,4,01/04/2017,,0.55
HH-22-5,,22mm,5,01/04/2017,,0.69
HH-22-6,,22mm,6,01/04/2017,,0.82
HH-22-7,,22mm,7,01/04/2017,,0.95
HH-22-8,,22mm,8,01/04/2017,,1.08
HH-22-9,,22mm,9,01/04/2017,,1.21
HH-22-10,,22mm,10,01/04/2017,,1.34
HH-22-11,,22mm,11,01/04/2017,,1.47
HH-22-12,,22mm,12,01/04/2017,,1.6
HH-22-13,,22mm,13,01/04/2017,,1.73
HH-22-14,,22mm,14,01/04/2017,,1.86
HH-22-15,,22mm,15,01/04/2017,,1.99
NHH-22-BW,SPUT002,22mm,,01/04/2017,,2.2
NHH-22-SWW,SPUT004,22mm,,01/04/2017,,2.2
NHH-22-IOS,SPUT006,22mm,,01/04/2020,,2.2
NHH-22-WBT,SPUT008,22mm,,01/04/2022,,2.2
25-DEF,,25mm,,01/04/2017,,0.28
HH-25-1,,25mm,1,01/04/2017,,0.19
HH-25-2,,25mm,2,01/04/2017,,0.28
HH-25-3,,25mm,3,01/04/2017,,0.41
HH-25-4,,25mm,4,01/04/2017,,0.55
HH-25-5,,25mm,5,01/04/2017,,0.69
HH-25-6,,25mm,6,01/04/2017,,0.82
