Service Item Type ID,StagingRef__c,Name,ServiceCompanyStagingRef__c,ServiceItemFamilyStagingRef__c,DivisionStagingRef__c,DeviceSizeStagingRef__c,BandTypeStagingRef__c,GroupTypeStagingRef__c,Apt_UK__BillDescription__c,Apt_UK__StartDate__c,Apt_UK__EndDate__c,Apt_UK__EligibleforanAgreedRate__c,Apt_UK__AvailableToSelectInWizard__c,ChargeType__c,NumberOfOccupants__c,ServiceItemTypeCategory__c,SurfaceWaterDrainage__c,AssessedCharge__c
SI0001,SI0001,BW HH Meas Wat Fixed - 0mm,BW,SIF001,BW01,0mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0002,SI0002,BW HH Meas Wat Fixed - 15mm,BW,SIF001,BW01,15mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0003,SI0003,BW HH Meas Wat Fixed - 20mm,BW,SIF001,BW01,20mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0004,SI0004,BW HH Meas Wat Fixed - 22mm,BW,SIF001,BW01,22mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0005,SI0005,BW HH Meas Wat Fixed - 25mm,BW,SIF001,BW01,25mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0006,SI0006,BW HH Meas Wat Fixed - 40mm,BW,SIF001,BW01,40mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0007,SI0007,BW HH Meas Wat Fixed - 50mm,BW,SIF001,BW01,50mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0008,SI0008,BW HH Meas Wat Fixed - 65mm,BW,SIF001,BW01,65mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0009,SI0009,BW HH Meas Wat Fixed - 80mm,BW,SIF001,BW01,80mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0010,SI0010,BW HH Meas Wat Fixed - 100mm,BW,SIF001,BW01,100mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0011,SI0011,BW HH Meas Wat Fixed - 150mm,BW,SIF001,BW01,150mm,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0012,SI0012,BW HH Meas Wat Volume - Pre Occupation,BW,SIF002,BW01,,,,Water,2017/04/01,,No,1,,,,,
SI0013,SI0013,BW HH Meas Wat Volume - Seasonal Diff 3,BW,SIF002,BW01,,,,Water,2024/04/01,,No,1,,,,,
SI0014,SI0014,BW HH Meas Wat Volume - Vol Charge,BW,SIF002,BW01,,,,Water,2017/04/01,,No,1,,,,,
SI0015,SI0015,BW HH Meas Wat WaterSure - Annual Charge,BW,SIF005,BW01,,,,Water Fixed Charge,2017/04/01,,No,1,,,,,
SI0016,SI0016,BW HH Unm Wat Assessed Fixed - Fixed Charge,BW,SIF006,BW01,,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0017,SI0017,BW HH Unm Wat Assessed Volume - 1 Occ,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0018,SI0018,BW HH Unm Wat Assessed Volume - 2 Occ,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0019,SI0019,BW HH Unm Wat Assessed Volume - 3 Occ,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0020,SI0020,BW HH Unm Wat Assessed Volume - 4 Occ,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0021,SI0021,BW HH Unm Wat Assessed Volume - 5 Occ,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0022,SI0022,BW HH Unm Wat Assessed Volume - 6 Occ,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0023,SI0023,BW HH Unm Wat Assessed Volume - 7 Occ,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0024,SI0024,BW HH Unm Wat Assessed Volume - 1 Occ Hol Home,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0025,SI0025,BW HH Unm Wat Assessed Volume - 2 Occ Hol Home,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0026,SI0026,BW HH Unm Wat Assessed Volume - 3 Occ Hol Home,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0027,SI0027,BW HH Unm Wat Assessed Volume - 4 Occ Hol Home,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0028,SI0028,BW HH Unm Wat Assessed Volume - 5 Occ Hol Home,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0029,SI0029,BW HH Unm Wat Assessed Volume - 6 Occ Hol Home,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0030,SI0030,BW HH Unm Wat Assessed Volume - 7 Occ Hol Home,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0031,SI0031,BW HH Unm Wat Assessed Volume - SA 20m3,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0032,SI0032,BW HH Unm Wat Assessed Volume - SA 30m3,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0033,SI0033,BW HH Unm Wat Assessed Volume - SA 40m3,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0034,SI0034,BW HH Unm Wat Assessed Volume - SA 47m3,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0035,SI0035,BW HH Unm Wat Assessed Volume - SA 55m3,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0036,SI0036,BW HH Unm Wat Assessed Volume - SA 75m3,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0037,SI0037,BW HH Unm Wat Assessed Volume - SA 80m3,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0038,SI0038,BW HH Unm Wat Assessed Volume - SA 30m3 Hol Home,BW,SIF007,BW01,,,,Assessed Water,2017/04/01,,No,1,,,,,
SI0039,SI0039,BW HH Unm Wat Fixed - 16 x Fixed Charge,BW,SIF008,BW01,,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0041,SI0041,BW HH Unm Wat Fixed - Fixed Charge,BW,SIF008,BW01,,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0042,SI0042,BW HH Unm Wat Fixed - Swimming Pool,BW,SIF008,BW01,,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0043,SI0043,BW HH Unm Wat Fixed - Watering Point,BW,SIF008,BW01,,,,Water Standing Charge,2017/04/01,,No,1,,,,,
SI0044,SI0044,BW HH Unm Wat Variable - RV Charge,BW,SIF009,BW01,,,,Water,2017/04/01,,No,1,,,,,
SI0045,SI0045,BW HH Unm Wat WaterSure - Annual Charge,BW,SIF011,BW01,,,,Water Fixed Charge,2017/04/01,,No,1,,,,,
SI0048,SI0048,SWW HH Meas Sew Fixed NSW - 15mm - Dual,SWW,SIF012,SW01,15mm,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0049,SI0049,SWW HH Meas Sew Fixed NSW - 22mm - Dual,SWW,SIF012,SW01,22mm,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0050,SI0050,SWW HH Meas Sew Fixed NSW - 25mm - Dual,SWW,SIF012,SW01,25mm,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0051,SI0051,SWW HH Meas Sew Fixed NSW - 40mm - Dual,SWW,SIF012,SW01,40mm,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0052,SI0052,SWW HH Meas Sew Fixed NSW - 65mm - Dual,SWW,SIF012,SW01,65mm,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0053,SI0053,SWW HH Meas Sew Fixed NSW - 80mm - Dual,SWW,SIF012,SW01,80mm,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0054,SI0054,SWW HH Meas Sew Fixed NSW - 100mm - Dual,SWW,SIF012,SW01,100mm,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0055,SI0055,SWW HH Meas Sew Fixed NSW - 150mm - Dual,SWW,SIF012,SW01,150mm,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0056,SI0056,SWW HH Meas Sew Fixed NSW - 15mm - Single,SWW,SIF013,SW01,15mm,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0057,SI0057,SWW HH Meas Sew Fixed NSW - 22mm - Single,SWW,SIF013,SW01,22mm,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0058,SI0058,SWW HH Meas Sew Fixed NSW - 25mm - Single,SWW,SIF013,SW01,25mm,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0059,SI0059,SWW HH Meas Sew Fixed NSW - 40mm - Single,SWW,SIF013,SW01,40mm,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0060,SI0060,SWW HH Meas Sew Fixed NSW - 65mm - Single,SWW,SIF013,SW01,65mm,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0061,SI0061,SWW HH Meas Sew Fixed NSW - 80mm - Single,SWW,SIF013,SW01,80mm,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0062,SI0062,SWW HH Meas Sew Fixed NSW - 100mm - Single,SWW,SIF013,SW01,100mm,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0063,SI0063,SWW HH Meas Sew Fixed NSW - 150mm - Single,SWW,SIF013,SW01,150mm,,,Sewerage 2 Standing Charge,2017/04/01,,No,1,,,,,
SI0064,SI0064,SWW HH Meas Sew Fixed SWD - 15mm - Dual,SWW,SIF014,SW01,15mm,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0065,SI0065,SWW HH Meas Sew Fixed SWD - 22mm - Dual,SWW,SIF014,SW01,22mm,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0066,SI0066,SWW HH Meas Sew Fixed SWD - 25mm - Dual,SWW,SIF014,SW01,25mm,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0067,SI0067,SWW HH Meas Sew Fixed SWD - 40mm - Dual,SWW,SIF014,SW01,40mm,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0068,SI0068,SWW HH Meas Sew Fixed SWD - 65mm - Dual,SWW,SIF014,SW01,65mm,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0069,SI0069,SWW HH Meas Sew Fixed SWD - 80mm - Dual,SWW,SIF014,SW01,80mm,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0070,SI0070,SWW HH Meas Sew Fixed SWD - 100mm - Dual,SWW,SIF014,SW01,100mm,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0071,SI0071,SWW HH Meas Sew Fixed SWD - 150mm - Dual,SWW,SIF014,SW01,150mm,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0072,SI0072,SWW HH Meas Sew Fixed SWD - 15mm - Single,SWW,SIF015,SW01,15mm,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0073,SI0073,SWW HH Meas Sew Fixed SWD - 22mm - Single,SWW,SIF015,SW01,22mm,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
SI0074,SI0074,SWW HH Meas Sew Fixed SWD - 25mm - Single,SWW,SIF015,SW01,25mm,,,Sewerage 1 Standing Charge,2017/04/01,,No,1,,,,,
