Staging Ref,Tax Classification Type Staging Ref,Service Item Type Staging Ref,Start Date,End Date,Percent Tax
SI0178-STD,STD,SI0178,2020/04/01,,20
SI0179-STD,STD,SI0179,2020/04/01,,20
SI0180-STD,STD,SI0180,2020/04/01,,20
SI0181-STD,STD,SI0181,2020/04/01,,20
SI0182-STD,STD,SI0182,2020/04/01,,20
SI0183-STD,STD,SI0183,2020/04/01,,20
SI0184-STD,STD,SI0184,2020/04/01,,20
SI0185-STD,STD,SI0185,2020/04/01,,20
SI0186-STD,STD,SI0186,2020/04/01,,20
SI0187-STD,STD,SI0187,2020/04/01,,20
SI0188-STD,STD,SI0188,2020/04/01,,20
SI0189-STD,STD,SI0189,2020/04/01,,20
SI0190-STD,STD,SI0190,2020/04/01,,20
SI0191-STD,STD,SI0191,2020/04/01,,20
SI0192-STD,STD,SI0192,2020/04/01,,20
SI0193-STD,STD,SI0193,2020/04/01,,20
SI0194-STD,STD,SI0194,2020/04/01,,20
SI0195-STD,STD,SI0195,2020/04/01,,20
SI0196-STD,STD,SI0196,2020/04/01,,20
SI0197-STD,STD,SI0197,2020/04/01,,20
SI0198-STD,STD,SI0198,2020/04/01,,20
SI0199-STD,STD,SI0199,2020/04/01,,20
SI0200-STD,STD,SI0200,2020/04/01,,20
SI0201-STD,STD,SI0201,2020/04/01,,20
SI0202-STD,STD,SI0202,2020/04/01,,20
SI0203-STD,STD,SI0203,2020/04/01,,20
SI0204-STD,STD,SI0204,2020/04/01,,20
SI0205-STD,STD,SI0205,2020/04/01,,20
SI0206-STD,STD,SI0206,2020/04/01,,20
SI0207-STD,STD,SI0207,2020/04/01,,20
SI0208-STD,STD,SI0208,2020/04/01,,20
SI0209-STD,STD,SI0209,2020/04/01,,20
SI0210-STD,STD,SI0210,2020/04/01,,20
SI0211-STD,STD,SI0211,2020/04/01,,20
SI0212-STD,STD,SI0212,2020/04/01,,20
SI0213-STD,STD,SI0213,2020/04/01,,20
SI0214-STD,STD,SI0214,2020/04/01,,20
SI0215-STD,STD,SI0215,2020/04/01,,20
SI0216-STD,STD,SI0216,2020/04/01,,20
SI0217-STD,STD,SI0217,2020/04/01,,20
SI0218-STD,STD,SI0218,2020/04/01,,20
SI0219-STD,STD,SI0219,2020/04/01,,20
SI0220-STD,STD,SI0220,2020/04/01,,20
SI0221-STD,STD,SI0221,2020/04/01,,20
SI0222-STD,STD,SI0222,2020/04/01,,20
SI0223-STD,STD,SI0223,2020/04/01,,20
SI0224-STD,STD,SI0224,2020/04/01,,20
SI0225-STD,STD,SI0225,2020/04/01,,20
SI0226-STD,STD,SI0226,2020/04/01,,20
SI0227-STD,STD,SI0227,2020/04/01,,20
SI0228-STD,STD,SI0228,2020/04/01,,20
SI0229-STD,STD,SI0229,2020/04/01,,20
SI0230-STD,STD,SI0230,2020/04/01,,20
SI0231-STD,STD,SI0231,2020/04/01,,20
SI0232-STD,STD,SI0232,2020/04/01,,20
SI0233-STD,STD,SI0233,2020/04/01,,20
SI0234-STD,STD,SI0234,2020/04/01,,20
SI0235-STD,STD,SI0235,2020/04/01,,20
SI0236-STD,STD,SI0236,2020/04/01,,20
SI0237-STD,STD,SI0237,2020/04/01,,20
SI0238-STD,STD,SI0238,2020/04/01,,20
SI0239-STD,STD,SI0239,2020/04/01,,20
SI0240-STD,STD,SI0240,2020/04/01,,20
SI0241-STD,STD,SI0241,2020/04/01,,20
SI0242-STD,STD,SI0242,2020/04/01,,20
SI0243-STD,STD,SI0243,2020/04/01,,20
SI0257-STD,STD,SI0257,2022/04/01,,20
SI0258-STD,STD,SI0258,2022/04/01,,20
SI0259-STD,STD,SI0259,2022/04/01,,20
SI0260-STD,STD,SI0260,2022/04/01,,20
SI0261-STD,STD,SI0261,2022/04/01,,20
SI0262-STD,STD,SI0262,2022/04/01,,20
SI0263-STD,STD,SI0263,2022/04/01,,20
SI0264-STD,STD,SI0264,2022/04/01,,20
SI0265-STD,STD,SI0265,2022/04/01,,20
SI0266-STD,STD,SI0266,2022/04/01,,20
